epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,310.161,0.39476,0.49998,0.28972,0.79136,0.96153,0.98317,0.991,0.90917,0.96153,0.98317,0.991,0.79393,0.42748,0.65349,0.32008,0.79619,0.0014753,0.0014753,0.0014753
55,315.198,0.40157,0.51169,0.28514,0.79065,0.96963,0.97843,0.99101,0.90519,0.96963,0.97843,0.99101,0.7669,0.46465,0.68167,0.32493,0.7987,0.0014654,0.0014654,0.0014654
56,320.933,0.37894,0.51937,0.27865,0.7873,0.97357,0.97716,0.99155,0.91473,0.97357,0.97716,0.99155,0.78675,0.42371,0.63505,0.31191,0.79635,0.0014555,0.0014555,0.0014555
57,326.151,0.40183,0.51176,0.27677,0.78984,0.955,0.9964,0.99107,0.92438,0.955,0.9964,0.99107,0.78918,0.4003,0.65869,0.31679,0.79297,0.0014456,0.0014456,0.0014456
58,332.442,0.37656,0.5326,0.27652,0.78651,0.95552,0.99619,0.99127,0.92201,0.95552,0.99619,0.99127,0.77958,0.41076,0.63966,0.30497,0.79337,0.0014357,0.0014357,0.0014357
59,338.257,0.36158,0.51622,0.26063,0.78564,0.95387,0.99873,0.99174,0.93248,0.95387,0.99873,0.99174,0.7651,0.38542,0.66832,0.2991,0.79117,0.0014258,0.0014258,0.0014258
60,343.264,0.34447,0.48933,0.25909,0.78622,0.96494,0.98604,0.99113,0.91876,0.96494,0.98604,0.99113,0.77774,0.40685,0.71081,0.30577,0.79432,0.0014159,0.0014159,0.0014159
61,349.085,0.36224,0.53181,0.26505,0.7865,0.97001,0.98731,0.99164,0.9252,0.97001,0.98731,0.99164,0.77789,0.39237,0.64865,0.31502,0.79165,0.001406,0.001406,0.001406
62,354.351,0.37911,0.52103,0.27527,0.78578,0.97035,0.98604,0.99212,0.92606,0.97035,0.98604,0.99212,0.77595,0.39197,0.64936,0.29956,0.79207,0.0013961,0.0013961,0.0013961
63,359.545,0.37724,0.49452,0.26678,0.78572,0.96703,0.98477,0.99152,0.92398,0.96703,0.98477,0.99152,0.78238,0.41798,0.63755,0.30603,0.79306,0.0013862,0.0013862,0.0013862
64,365.572,0.36884,0.48579,0.26622,0.78367,0.97073,0.98096,0.99184,0.93169,0.97073,0.98096,0.99184,0.78578,0.3796,0.61956,0.29351,0.79035,0.0013763,0.0013763,0.0013763
65,370.705,0.36569,0.48366,0.25757,0.79003,0.96539,0.99107,0.9914,0.93361,0.96539,0.99107,0.9914,0.78417,0.37776,0.61353,0.29748,0.78951,0.0013664,0.0013664,0.0013664
66,376.177,0.35424,0.47653,0.25742,0.78717,0.96417,0.99029,0.99098,0.92015,0.96417,0.99029,0.99098,0.7734,0.40904,0.67234,0.30314,0.79274,0.0013565,0.0013565,0.0013565
67,382.842,0.35629,0.47936,0.25588,0.78642,0.97029,0.9835,0.99171,0.92636,0.97029,0.9835,0.99171,0.7951,0.40053,0.62006,0.30326,0.79195,0.0013466,0.0013466,0.0013466
68,388.077,0.36597,0.51168,0.25516,0.78519,0.96644,0.98669,0.99217,0.93221,0.96644,0.98669,0.99217,0.77609,0.38066,0.62972,0.30087,0.79024,0.0013367,0.0013367,0.0013367
69,394.038,0.36516,0.4773,0.26218,0.78459,0.96375,0.98731,0.9915,0.92626,0.96375,0.98731,0.9915,0.78639,0.39745,0.69093,0.29419,0.7924,0.0013268,0.0013268,0.0013268
70,398.946,0.35533,0.49652,0.25421,0.78799,0.9641,0.98829,0.99146,0.92381,0.9641,0.98829,0.99146,0.80418,0.40721,0.62098,0.29827,0.79295,0.0013169,0.0013169,0.0013169
71,404.571,0.35288,0.48064,0.25054,0.78462,0.96419,0.99084,0.99144,0.93092,0.96419,0.99084,0.99144,0.77485,0.3753,0.63422,0.29168,0.79028,0.001307,0.001307,0.001307
72,410.585,0.34615,0.49454,0.2462,0.78476,0.96654,0.98858,0.98997,0.93056,0.96654,0.98858,0.98997,0.80046,0.38477,0.60136,0.28442,0.78995,0.0012971,0.0012971,0.0012971
73,416.385,0.34785,0.47025,0.24486,0.78627,0.96422,0.99184,0.98934,0.92868,0.96422,0.99184,0.98934,0.7822,0.38158,0.63856,0.2851,0.78992,0.0012872,0.0012872,0.0012872
74,422.019,0.33732,0.48096,0.2416,0.78223,0.96649,0.98811,0.98931,0.93972,0.96649,0.98811,0.98931,0.77739,0.36074,0.59821,0.28253,0.78758,0.0012773,0.0012773,0.0012773
75,427.036,0.33204,0.46864,0.23819,0.78275,0.97001,0.9851,0.98945,0.93419,0.97001,0.9851,0.98945,0.79331,0.36661,0.62002,0.28653,0.78905,0.0012674,0.0012674,0.0012674
76,432.379,0.34733,0.49563,0.24363,0.78253,0.96886,0.98731,0.99054,0.93119,0.96886,0.98731,0.99054,0.78823,0.38171,0.61821,0.28883,0.78886,0.0012575,0.0012575,0.0012575
77,438.159,0.3352,0.47965,0.2386,0.78241,0.97226,0.98477,0.99153,0.94072,0.97226,0.98477,0.99153,0.78167,0.36079,0.61648,0.28022,0.78796,0.0012476,0.0012476,0.0012476
78,443.284,0.33919,0.46953,0.23817,0.77961,0.96784,0.98604,0.99094,0.94014,0.96784,0.98604,0.99094,0.78391,0.36485,0.62399,0.28453,0.78859,0.0012377,0.0012377,0.0012377
79,449.94,0.33985,0.4575,0.2363,0.78486,0.96772,0.98477,0.98922,0.92206,0.96772,0.98477,0.98922,0.79576,0.41064,0.63349,0.29104,0.79187,0.0012278,0.0012278,0.0012278
80,455.438,0.33791,0.45771,0.23928,0.78291,0.96185,0.99112,0.98808,0.92964,0.96185,0.99112,0.98808,0.77398,0.37737,0.62543,0.28207,0.78876,0.0012179,0.0012179,0.0012179
81,460.375,0.34922,0.47149,0.23632,0.78753,0.96484,0.98985,0.98973,0.93388,0.96484,0.98985,0.98973,0.79319,0.37061,0.61902,0.28717,0.78792,0.001208,0.001208,0.001208
82,466.085,0.34081,0.48073,0.23949,0.78371,0.96535,0.99002,0.9905,0.93125,0.96535,0.99002,0.9905,0.79261,0.37561,0.62843,0.28621,0.7882,0.0011981,0.0011981,0.0011981
83,470.983,0.32905,0.4606,0.23375,0.77793,0.96421,0.99147,0.99061,0.93401,0.96421,0.99147,0.99061,0.77423,0.38006,0.65663,0.28159,0.78858,0.0011882,0.0011882,0.0011882
